"","X","Lieu","ACCES_PMR","Latitude","Longitude","Icon","Couleur"
"1",1,"Porte d'accès spectateurs","Non",48.8393512591392,2.3776593861379,"sign-in","maroon"
"2",2,"Porte d'accès spectateurs","Non",48.8372066849738,2.38072428589275,"sign-in","maroon"
"3",3,"Porte d'accès spectateurs","Non",48.8372066849738,2.38072428589275,"sign-in","maroon"
"4",4,"Porte d'accès spectateurs","Non",48.8566018550776,2.35358192662567,"sign-in","maroon"
"5",5,"Porte d'accès spectateurs","Non",48.8660046457718,2.31929556363355,"sign-in","maroon"
"6",6,"Porte d'accès spectateurs","Non",48.8407967181568,2.25164515384808,"sign-in","maroon"
"7",7,"Porte d'accès spectateurs","Non",48.8480402661439,2.25069305492952,"sign-in","maroon"
"8",8,"Porte d'accès spectateurs","Non",48.8332075809359,2.28615462604123,"sign-in","maroon"
"9",9,"Porte d'accès spectateurs","Non",48.9260934122,2.36121955847,"sign-in","maroon"
"10",10,"Porte d'accès spectateurs","Non",48.9243321366,2.36237733326,"sign-in","maroon"
"11",11,"Porte d'accès spectateurs","Non",48.9241320004304,2.35025794253577,"sign-in","maroon"
"12",12,"Porte d'accès spectateurs","Non",48.8393512591392,2.3776593861379,"sign-in","maroon"
"13",13,"Porte d'accès spectateurs","Non",48.8947095677464,2.2289482359877,"sign-in","maroon"
"14",14,"Porte d'accès spectateurs","Non",48.8663589940566,2.31369953629538,"sign-in","maroon"
"15",15,"Porte d'accès spectateurs","Non",48.8663589940566,2.31369953629538,"sign-in","maroon"
"16",16,"Porte d'accès spectateurs","Non",48.8050135266206,2.08353159771498,"sign-in","maroon"
"17",17,"Porte d'accès spectateurs","Non",48.8624342555645,2.31325133124671,"sign-in","maroon"
"18",18,"Porte d'accès spectateurs","Non",48.8624090746788,2.31369788952862,"sign-in","maroon"
"19",19,"Porte d'accès spectateurs","Non",48.841091686048,2.25426768354473,"sign-in","maroon"
"20",20,"Porte d'accès spectateurs","Non",48.8332075809359,2.28615462604123,"sign-in","maroon"
"21",21,"Porte d'accès spectateurs","Non",48.9256503643,2.36227272714,"sign-in","maroon"
"22",22,"Porte d'accès spectateurs","Non",48.9259517186,2.36185430266,"sign-in","maroon"
"23",23,"Porte d'accès spectateurs","Non",48.9229434309,2.36091414115,"sign-in","maroon"
"24",24,"Porte d'accès spectateurs","Non",48.8627409486,2.30982491896,"sign-in","maroon"
"25",25,"Porte d'accès spectateurs","Non",48.9258981074,2.35856033053,"sign-in","maroon"
"26",26,"Porte d'accès spectateurs","Non",48.9251213061,2.35789598955,"sign-in","maroon"
"27",27,"Porte d'accès spectateurs","Non",48.9260934122,2.36121955847,"sign-in","maroon"
"28",28,"Porte d'accès spectateurs","Non",48.8943674661173,2.23046368407475,"sign-in","maroon"
"29",29,"Porte d'accès spectateurs","Non",48.8591823934832,2.29337003292662,"sign-in","maroon"
"30",30,"Porte d'accès spectateurs","Non",48.8631498920327,2.28828757793052,"sign-in","maroon"
"31",31,"Porte d'accès spectateurs","Oui",48.7912495494508,1.96631286264418,"sign-in","maroon"
"32",32,"Porte d'accès spectateurs","Non",48.8667328803183,2.31371306905471,"sign-in","maroon"
"33",33,"Porte d'accès spectateurs","Non",48.8050135266206,2.08353159771498,"sign-in","maroon"
"34",34,"Porte d'accès spectateurs","Non",48.8650013126365,2.62789184170533,"sign-in","maroon"
"35",35,"Porte d'accès spectateurs","Non",48.8624342555645,2.31325133124671,"sign-in","maroon"
"36",36,"Porte d'accès spectateurs","Non",48.8663511039785,2.32259186526137,"sign-in","maroon"
"37",37,"Porte d'accès spectateurs","Non",48.8663511039785,2.32259186526137,"sign-in","maroon"
"38",38,"Porte d'accès spectateurs","Non",48.8463275906305,2.24789198009297,"sign-in","maroon"
"39",39,"Porte d'accès spectateurs","Non",48.8463275906305,2.24789198009297,"sign-in","maroon"
"40",40,"Porte d'accès spectateurs","Non",48.8332075809359,2.28615462604123,"sign-in","maroon"
"41",41,"Porte d'accès spectateurs","Non",48.9251213061,2.35789598955,"sign-in","maroon"
"42",42,"Porte d'accès spectateurs","Non",48.9230967599,2.35841164049,"sign-in","maroon"
"43",43,"Porte d'accès spectateurs","Non",48.9234350877,2.362444388,"sign-in","maroon"
"44",44,"Porte d'accès spectateurs","Non",48.9236607257,2.35802540264,"sign-in","maroon"
"45",45,"Porte d'accès spectateurs","Non",48.9260682262,2.36056088136,"sign-in","maroon"
"46",46,"Porte d'accès spectateurs","Non",48.9251213061,2.35789598955,"sign-in","maroon"
"47",47,"Porte d'accès spectateurs","Non",48.9236607257,2.35802540264,"sign-in","maroon"
"48",48,"Porte d'accès spectateurs","Non",48.8631498920327,2.28828757793052,"sign-in","maroon"
"49",49,"Porte d'accès spectateurs","Non",48.8046105362686,2.10638035389609,"sign-in","maroon"
"50",50,"Porte d'accès spectateurs","Non",48.8393512591392,2.3776593861379,"sign-in","maroon"
"51",51,"Porte d'accès spectateurs","Non",48.8987951451704,2.36151863460891,"sign-in","maroon"
"52",52,"Porte d'accès spectateurs","Non",48.7856134225107,1.97017434631173,"sign-in","maroon"
"53",53,"Porte d'accès spectateurs","Non",48.8650471044382,2.3133010744052,"sign-in","maroon"
"54",54,"Porte d'accès spectateurs","Non",48.8557233368519,2.35322974770922,"sign-in","maroon"
